,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Id_Item_First,Id_Item_Second,Id_Item_Third,Class_Outlet_Per_Year,Class_Item_Weight,Class_Item_Visibility,Item_Sales,Item_MRP_AVG,Item_Sales_AVG,Class_Item_MRP,Outlet_Item_Sales_AVG
0,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,Food,FD,A,15,Class B,Medium,Low,15.0,249.4967,20.875,Expensive,16.636559139784946
1,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,Drinks,DR,C,01,Class C,Medium,Low,9.0,48.9692,17.5,Cheap,13.856681034482758
2,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,Food,FD,N,15,Class B,Heavy,Low,15.0,140.4322857142857,10.571428571428571,Medium,16.636559139784946
3,NCD19,8.93,Low Fat,0.008082153,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,Non-Consumable,NC,D,19,Class A,Medium,Low,18.0,55.04473333333333,11.833333333333334,Cheap,15.99785407725322
4,FDP36,10.395,Regular,0.060928214,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,Food,FD,P,36,Class C,Heavy,Low,11.0,50.900800000000004,24.0,Cheap,13.856681034482758
5,FDO10,13.65,Regular,0.012741088999999999,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,Food,FD,O,10,Class A,Heavy,Low,6.0,57.133799999999994,15.0,Cheap,15.99785407725322
6,FDY07,11.8,Low Fat,0.052234102857142854,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,Food,FD,Y,07,Class B,Heavy,Low,33.0,46.18305714285714,15.714285714285714,Cheap,16.636559139784946
7,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,Food,FD,A,03,Class B,Heavy,Low,15.0,145.3602,15.5,Medium,16.18709677419355
8,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,Food,FD,X,32,Class B,Heavy,Low,11.0,144.2071714285714,12.571428571428571,Medium,16.636559139784946
9,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,Food,FD,S,46,Class B,Heavy,Low,18.0,119.1582,13.8,Medium,16.18709677419355
10,FDF32,16.35,Low Fat,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.4260000000002,Food,FD,F,32,Class A,Heavy,Low,10.0,197.70260000000002,9.2,Medium,15.99785407725322
11,FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,Food,FD,P,49,Class B,Medium,Low,27.0,55.347114285714284,14.0,Cheap,16.18709677419355
12,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,Non-Consumable,NC,B,42,Class C,Heavy,Low,14.0,116.49919999999999,16.333333333333332,Medium,13.856681034482758
13,FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,Food,FD,P,49,Class B,Medium,Low,13.0,55.347114285714284,14.0,Cheap,16.636559139784946
14,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,Food,FD,U,02,Class C,Heavy,Low,12.0,229.73519999999994,15.0,Expensive,16.966666666666665
15,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,Food,FD,N,22,Class A,Heavy,Low,15.0,251.74740000000003,13.25,Expensive,15.99785407725322
16,NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,Non-Consumable,NC,B,30,Class C,Heavy,Low,8.0,197.90840000000003,13.571428571428571,Medium,16.966666666666665
17,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,Food,FD,R,28,Class B,Heavy,Low,25.0,163.561,16.2,Medium,16.18709677419355
18,FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,Food,FD,V,10,Class C,Medium,Low,25.0,42.1712,16.2,Cheap,16.966666666666665
19,DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,Drinks,DR,J,59,Class A,Heavy,Low,8.0,39.43306666666666,12.0,Cheap,15.99785407725322
20,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,Non-Consumable,NC,S,17,Class C,Heavy,Low,28.0,94.4636,22.4,Cheap,13.856681034482758
21,FDP33,18.7,Low Fat,0.08556526183333335,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,Food,FD,P,33,Class C,Heavy,Low,12.0,255.9838666666667,17.5,Expensive,13.856681034482758
22,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,Drinks,DR,H,01,Class B,Heavy,Low,12.0,173.1138,14.8,Medium,16.18709677419355
23,NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,Non-Consumable,NC,X,29,Class B,Medium,Low,26.0,146.0227,13.375,Medium,16.636559139784946
24,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,Drinks,DR,Z,11,Class C,Medium,Low,13.0,123.02213333333333,14.166666666666666,Medium,13.856681034482758
25,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,Food,FD,U,02,Class B,Heavy,Low,15.0,229.73519999999994,15.0,Expensive,16.18709677419355
26,FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,Food,FD,K,43,Class A,Medium,Low,17.0,127.03533333333336,15.0,Medium,15.99785407725322
27,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,Food,FD,A,46,Class B,Heavy,Low,13.0,194.74693333333335,19.666666666666668,Medium,16.636559139784946
28,FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,Food,FD,C,02,Class C,Extra Heavy,Low,26.0,259.1444666666667,17.5,Expensive,13.856681034482758
29,FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,Food,FD,L,50,Class A,Heavy,Low,3.0,125.10459999999999,11.5,Medium,15.99785407725322
30,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,Food,FD,L,12,Class B,Heavy,Low,43.0,59.802,17.0,Cheap,16.18709677419355
31,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,Non-Consumable,NC,L,17,Class B,Medium,Low,22.0,141.45620000000002,19.0,Medium,16.18709677419355
32,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,Food,FD,M,40,Class A,Heavy,Intermediate,6.0,142.6154,13.666666666666666,Medium,15.99785407725322
